--------- beginning of main
06-01 10:09:51.071 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.105 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.142 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.179 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.214 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.251 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.292 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.328 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.365 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.400 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.438 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.474 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.509 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.546 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.581 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.616 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.651 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.690 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.727 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.762 V/GeospatialService( 5183): Camera 상태: PAUSED
